STATEs/UTs,year,yearFormatted,Percentage ground water withdrawal against availability,"Percentage use of nitrogenous fertilizer out of total N,P,K, (Nitrogen, Phosphorous, Potassium)",Per capita hazard waste generated,Quantity of hazardous waste recycled/utilized to total hazardous waste generated (%),Municipal Solid Waste (MSW) treated against MSW generated,"Installed Capacity of Grid Interactive Bio Power per 100,000 population",Percentage of wards with 100% source segregation,Per capita fossil fuel consumption (in kg.),"Hazardous waste generated per 1,000 population (Metric tonnes/Annum)","Plastic waste generated per 1,000 population (Tonnes/Annum)",Percentage of Bio Medical Waste (BMW) treated to total quantity of BMW generated,"Installed Capacity of Grid Interactive Bio Power per 10,00,000 population"
Andaman and Nicobar Islands,2019,2019,,36.87556221889056,,,7.142857142857142,,75.0,,,,,
Andaman and Nicobar Islands,2018,2018,0.98,,,,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,,42.02898551,,0.0,,,,549.7577338,,1.23085,,
Andaman and Nicobar Islands,2020-21,2021,,46.98795180722892,,0.0,,,,558.0,0.0004040404040404,4.671717171717171,100.0,
Andhra Pradesh,2020-21,2021,,59.57593086388023,,75.99231874155497,,,,158.4,11.27927044895449,1.274484932349323,100.0,9.635734519667675
Andhra Pradesh,2023-24,2024,,59.36113628,,86.51233777,,,,152.860773,,0.752367617,,
Andhra Pradesh,2019,2019,,58.2637808270854,0.0053241135795203,0.0527189702258806,7.763975155279502,0.9231705967009852,90.93575828688763,,,,,
Andhra Pradesh,2018,2018,43.83,,,,,,,,,,,
Arunachal Pradesh,2019,2019,,0.0,,,0.0,,14.66666666666667,,,,,
Arunachal Pradesh,2018,2018,0.25,,,,,,,,,,,
Arunachal Pradesh,2020-21,2021,,0.0,,,,,,179.7,,2.536751507032819,100.0,0.0
Arunachal Pradesh,2023-24,2024,,0.0,,,,,,237.1395285,,2.461271298,,
Assam,2020-21,2021,,66.64368450082736,,20.91567852437418,,,,88.0,1.337719942425756,0.9481499867814234,75.04804575567056,0.0574828270054321
Assam,2023-24,2024,,68.21604679,,83.48453413,,,,88.41763536,,1.684438329,,
Assam,2019,2019,,66.45661657779934,0.0009071046873555,,0.0,,31.04925053533191,,,,,
Assam,2018,2018,16.4,,,,,,,,,,,
Bihar,2018,2018,44.68,,,,,,,,,,,
Bihar,2019,2019,,69.8014313073279,7.342071832775147e-05,0.0742842095183376,0.0,0.1129617030001957,24.87414865265028,,,,,
Bihar,2023-24,2024,,71.85055719,,248.2065074,,,,44.67854716,,0.607021358,,
Bihar,2020-21,2021,,68.58499064513894,,28.40540705853569,,,,50.5,0.1381609525660636,0.582283302206485,28.83458717889059,1.02301160835145
Chandigarh,2023-24,2024,,0.0,,0.0,,,,375.2433988,,10.90432612,,
Chandigarh,2019,2019,,0.0,0.0015993775280898,0.2842124740339617,67.56756756756756,,92.3076923076923,,,,,
Chandigarh,2020-21,2021,,0.0,,43.93770856507231,,,,412.6,1.536752136752137,10.01316239316239,100.0,
Chandigarh,2018,2018,0.0,,,,,,,,,,,
Chhattisgarh,2023-24,2024,,59.98337753,,125.0437969,,,,139.8756476,,1.617632019,,
Chhattisgarh,2019,2019,,57.76427941608701,0.0025188817187681,0.052674567961184,8.860759493670885,0.8606526771712344,100.0,,,,,
Chhattisgarh,2018,2018,36.97,,,,,,,,,,,
Chhattisgarh,2020-21,2021,,56.46047116635352,,19.75494119820208,,,,160.9,8.557503161444428,0.2107629619221582,28.55982852882704,8.376372404829498
Dadra and Nagar Haveli,2019,2019,,58.97716395460139,,,0.0,,100.0,,,,,
Dadra and Nagar Haveli,2018,2018,31.75,,,,,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,,65.21739130434781,,,,,,1160.5,,2.117065217391304,100.0,
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,,69.04761905,,,,,,360.1517927,,4.488129155,,
Daman and Diu,2019,2019,,87.51828376401754,,,0.0,,100.0,,,,,
Daman and Diu,2018,2018,71.43,,,,,,,,,,,
Daman and Diu,2020-21,2021,,93.33333333333334,,,,,,909.7,,2.117065217391304,100.0,
Delhi,2019,2019,,95.9489383873909,0.0001971980267794,,38.70967741935484,0.2244862718010706,20.06802721088435,,,,,
