STATEs/UTs,year,yearFormatted,"Ratio of rural households covered under public distribution system to rural households where monthly income of highest earning member is less than Rs.5,000",Percentage of children under five years who are stunted,Percentage of pregnant women aged 15-49 years who are anaemic,"Rice, wheat and coarse cereals produced annually per unit area (Kg/Ha)",Percentage of children aged 6-59 months who are anaemic (Hb<11.0 g/dl),Percentage children aged 0–4 years who are underweight,Gross Value Added (constant prices) in agriculture per worker (in Lakhs/worker),"Percentage of beneficiaries covered under National Food Security Act (NFSA), 2013",Percentage of children under five years who are underweight,Percentage of adolescents aged 10–19 years who are anaemic,Rice and Wheat produced per unit area (three-year average) (Kg/Ha),Percentage of women (aged 15-49 years) whose Body Mass Index is below 18.5
Andaman and Nicobar Islands,2019,2019,0.4917192429022083,,61.4,,,,2.984776091437137,,,,,
Andaman and Nicobar Islands,2018,2018,0.49,23.3,61.4,2211.38,,,,,,,,
Andaman and Nicobar Islands,2023–24,2024,,22.5,53.7,,,,,96.21,,,2451.15,9.4
Andaman and Nicobar Islands,2020–21,2021,,,61.4,,,,,100.0,,,2122.08,
Andhra Pradesh,2020–21,2021,,31.5,52.9,,,,0.7315865587667753,100.0,35.5,21.7,3729.47,
Andhra Pradesh,2023–24,2024,,31.2,53.7,,,,1.5,100.0,,,3516.1,14.8
Andhra Pradesh,2019,2019,0.7665995975855131,31.5,52.9,3917.5,39.6,35.5,0.594200562711313,,,,,
Andhra Pradesh,2018,2018,0.77,31.4,52.9,3497.17,,,,,,,,
Arunachal Pradesh,2019,2019,0.9240523968784838,28.0,33.8,,28.3,16.0,1.324735758083649,,,,,
Arunachal Pradesh,2018,2018,0.92,29.4,33.8,1539.8,,,,,,,,
Arunachal Pradesh,2020–21,2021,,28.0,33.8,,,,1.286107160351024,100.0,16.0,26.4,1806.62,
Arunachal Pradesh,2023–24,2024,,28.0,27.9,,,,1.97,96.53,,,1846.7,5.7
Assam,2020–21,2021,,32.4,44.8,,,,0.6206684879040415,94.27,29.4,36.9,2147.44,
Assam,2023–24,2024,,35.3,54.2,,,,0.76,99.71,,,2078.49,17.7
Assam,2019,2019,1.094680712706464,32.4,44.8,1663.0,33.7,29.4,0.5790503890000258,,,,,
Assam,2018,2018,1.09,36.4,44.8,2062.72,,,,,,,,
Bihar,2018,2018,1.2,48.3,58.3,2244.71,,,,,,,,
Bihar,2019,2019,1.198029556650246,42.0,58.3,2748.333333333333,43.7,38.7,0.2617799664355807,,,,,
Bihar,2023–24,2024,,42.9,63.1,,,,0.34,100.0,,,2480.14,25.6
Bihar,2020–21,2021,,42.0,58.3,,,,0.2855499387362044,99.85,38.7,28.1,2374.02,
Chandigarh,2023–24,2024,,25.3,,,,,3.66,60.29,,,4961.69,13.0
Chandigarh,2019,2019,0.8564444444444445,,,,,,2.778429073856975,,,,,
Chandigarh,2020–21,2021,,,,,,,3.106447831184056,100.0,,,4973.62,
Chandigarh,2018,2018,0.86,28.7,,4600.0,,,,,,,,
Chhattisgarh,2023–24,2024,,34.6,51.8,,,,0.49,100.0,,,1933.78,23.1
Chhattisgarh,2019,2019,0.9280678563560256,35.4,41.5,1603.0,40.8,40.0,0.4001138657430768,,,,,
Chhattisgarh,2018,2018,0.93,37.6,41.5,1495.17,,,,,,,,
Chhattisgarh,2020–21,2021,,35.4,41.5,,,,0.4114341521157504,98.39,40.0,31.2,1802.58,
Dadra and Nagar Haveli,2019,2019,1.217146161630765,,67.9,,,,,,,,,
Dadra and Nagar Haveli,2018,2018,1.22,41.7,67.9,2331.88,,,,,,,,
Dadra and Nagar Haveli,2020–21,2021,,,67.9,,,,,64.21,,,2105.13,
Dadra and Nagar Haveli and Daman and Diu,2023–24,2024,,39.4,60.7,,,,,75.6,,,2096.07,25.1
Daman and Diu,2019,2019,0.5849056603773585,,,,,,,,,,,
Daman and Diu,2018,2018,0.58,23.4,,1150.0,,,,,,,,
Daman and Diu,2020–21,2021,,,,,,,,96.61,,,1272.73,
Delhi,2019,2019,1.288106630211893,28.8,45.1,,47.0,28.1,2.351317220369684,,,,,
Delhi,2020–21,2021,,28.8,46.1,,,,2.671202621098107,100.0,28.1,29.2,3977.23,
Delhi,2018,2018,1.29,32.3,45.1,3833.03,,,,,,,,
Delhi,2023–24,2024,,30.9,42.2,,,,1.95,100.0,,,4067.96,10.0
