STATEs/UTs,year,yearFormatted,Adjusted Net Enrolment Ratio in Elementary (Class 1-8) and Secondary (Class 9-10) education,"Correct responses on Learning Outcomes in Language, Mathematics and EVS for Class 5 students (%)","Correct responses on Learning Outcomes in Language, Mathematics, Science and Social Science for Class 8 students (%)",Children in the age group of 6-13 who are out of school (%),Average annual dropout rate at secondary level (class 9-10),School teachers professionally qualified (%),Percentage of schools with Pupil Teacher ratio less than/equal to 30,"Percentage of students in grade III, V, VIII and  X  achieving  at  least  a  minimum  proficiency  level  in terms of nationally defined learning outcomes to be attained by pupils at the end of each of above grades",Gross Enrolment Ratio (GER) in higher education (18-23 years),Gender Parity Index (GPI) for higher education (18-23 years),Disabled children (5-19 Years) attending educational institution,"Proportion of trained teacher, by education level (elementary, secondary)",Adjusted Net Enrolment Rate (ANER) in elementary education (class 1-8) (%),Percentage of students in grade VIII achieving atleast a minimum proficiency level in terms of nationally defined learning outcomes to be attained by the pupils at the end of the grade,Gross Enrolment Ratio (GER) in higher education (18-23 years).1,Percentage of persons with disability (15 years and above) who have completed at least secondary education,Percentage of persons 15 years and above who are literate,"Percentage of schools with access to basic infrastructure (electricity, and drinking water-both)",Percentage of trained teachers at secondary level (class 9-10),Pupil Teacher Ratio (PTR) at secondary level (class 9-10),Gross Enrolment Ratio (GER) in higher secondary (class 11-12) (%),Percentage of students in grade VIII achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by the pupils at the end of the grade,Percentage of Schools with computers
Andaman and Nicobar Islands,2019,2019,77.485,,,2.116082224909311,7.36,,99.51,69.1,23.2,1.29,66.64,21.045,,,,,,,,,,,
Andaman and Nicobar Islands,2018,2018,77.48,52.0,39.0,2.12,9.87,98.86,99.51,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,2023–24,2024,,,,,5.0,,,,22.6,1.3,,,68.7,,,28.5,91.9,92.79,92.5,7.0,65.8,76.5,66.8
Andaman and Nicobar Islands,2020–21,2021,,,,,22.22,,,,56.44,1.29,,,74.1,65.5,23.2,28.5,88.3,96.0144927536232,85.05477308294209,10.0,,,
Andhra Pradesh,2020–21,2021,,,,,16.37,,,,46.84,0.81,,,87.98,80.15,32.4,15.4,65.6,91.25996133352194,75.17659625788222,16.0,,,
Andhra Pradesh,2023–24,2024,,,,,16.3,,,,36.5,0.93,,,96.9,,,15.4,68.0,98.8,82.5,11.0,56.7,73.5,51.6
Andhra Pradesh,2019,2019,63.495,,,0.9092354829592024,15.71,,85.99,76.51249999999999,32.4,0.81,61.55,49.565,,,,,,,,,,,
Andhra Pradesh,2018,2018,63.49,65.0,51.25,0.91,15.71,98.1,85.99,,,,,,,,,,,,,,,,
Arunachal Pradesh,2019,2019,79.015,,,2.917058323262164,29.93,,88.87,58.7875,29.7,0.99,61.92,97.98,,,,,,,,,,,
Arunachal Pradesh,2018,2018,79.02,41.67,36.75,2.92,17.11,51.07,88.87,,,,,,,,,,,,,,,,
