STATEs/UTs,year,yearFormatted,Percentage of households electrified,Percentage of households using clean cooking fuel (LPG),Percentage of renewable energy out of total installed generating capacity (Including allocated shares),Percentage of LPG+PNG connections against number of households
Andaman and Nicobar Islands,2019,2019,,81.8,,
Andaman and Nicobar Islands,2018,2018,,63.5,22.77,
Andaman and Nicobar Islands,2023-24,2024,100.0,,27.49603122,136.84
Andaman and Nicobar Islands,2020-21,2021,,,46.256038647343,115.1515151515151
Andhra Pradesh,2020-21,2021,100,,40.72527665975851,101.157523905385
Andhra Pradesh,2023-24,2024,100.0,,40.6089581,103.56
Andhra Pradesh,2019,2019,100.0,81.3,,
Andhra Pradesh,2018,2018,99.99,62.0,30.17,
Arunachal Pradesh,2019,2019,100.0,64.7,,
Arunachal Pradesh,2018,2018,75.78,45.0,100.0,
Arunachal Pradesh,2020-21,2021,100,,84.78245091991145,84.04907975460124
Arunachal Pradesh,2023-24,2024,100.0,,89.15448427,78.82
Assam,2020-21,2021,100,,32.27202016646417,97.60584336534558
Assam,2023-24,2024,100.0,,35.05993065,108.17
Assam,2019,2019,100.0,59.2,,
Assam,2018,2018,81.78,25.1,8.29,
Bihar,2018,2018,99.98,17.8,58.19,
Bihar,2019,2019,100.0,49.4,,
Bihar,2023-24,2024,100.0,,7.283254428,84.32
Bihar,2020-21,2021,100,,7.913384875990574,76.55404541774956
Chandigarh,2023-24,2024,100.0,,71.13264583,115.37
Chandigarh,2019,2019,,88.9,,
Chandigarh,2020-21,2021,,,69.40312829862776,143.2234432234432
Chandigarh,2018,2018,,93.9,100.0,
Chhattisgarh,2023-24,2024,100.0,,12.70425718,89.21
Chhattisgarh,2019,2019,99.67,40.6,,
Chhattisgarh,2018,2018,98.63,22.8,2.93,
Chhattisgarh,2020-21,2021,99.67,,5.94442158354317,76.87344185364424
Dadra and Nagar Haveli,2019,2019,,86.6,,
Dadra and Nagar Haveli,2018,2018,,56.1,100.0,
Dadra and Nagar Haveli,2020-21,2021,,,1.095527598868356,89.28571428571428
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,100.0,,6.014955826,59.98
Daman and Diu,2019,2019,,87.0,,
Daman and Diu,2018,2018,,73.6,100.0,
Daman and Diu,2020-21,2021,,,14.2065886826768,78.02197802197803
Delhi,2019,2019,100.0,94.3,,
Delhi,2020-21,2021,100,,12.56312589531499,147.3421512353382
Delhi,2018,2018,,97.7,2.21,
Delhi,2023-24,2024,100.0,,15.34485518,147.05
Goa,2018,2018,100.0,84.1,1.56,
Goa,2023-24,2024,100.0,,7.313112764,141.92
Goa,2019,2019,100.0,93.5,,
