sdg,label,indicator
SDG 1,No Poverty,Indicator 1
SDG 1,No Poverty,Indicator 2
SDG 1,No Poverty,Indicator 3
SDG 2,Zero Hunger,Indicator 1 
SDG 2,Zero Hunger,Indicator 2
SDG 2,Zero Hunger,Indicator 3
SDG 3,Good Health and Well-being,Indicator 1
SDG 3,Good Health and Well-being,Indicator 2
SDG 3,Good Health and Well-being,Indicator 3
SDG 4,Quality Education,Indicator 1
SDG 4,Quality Education,Indicator 2
SDG 4,Quality Education,Indicator 3
SDG 5,Gender Equality,Indicator 1
SDG 5,Gender Equality,Indicator 2
SDG 5,Gender Equality,Indicator 3
SDG 6,Clean Water and Sanitation,Indicator 1
SDG 6,Clean Water and Sanitation,Indicator 2
SDG 6,Clean Water and Sanitation,Indicator 3
SDG 7,Affordable and Clean Energy,Indicator 1
SDG 7,Affordable and Clean Energy,Indicator 2
SDG 7,Affordable and Clean Energy,Indicator 3
SDG 8,Decent Work and Economic Growth,Indicator 1
SDG 8,Decent Work and Economic Growth,Indicator 2
SDG 8,Decent Work and Economic Growth,Indicator 3
SDG 9,"Industry, Innovation and Infrastructure",Indicator 1
SDG 9,"Industry, Innovation and Infrastructure",Indicator 2
SDG 9,"Industry, Innovation and Infrastructure",Indicator 3
SDG 10,Reduced Inequalities,Indicator 1
SDG 10,Reduced Inequalities,Indicator 2
SDG 10,Reduced Inequalities,Indicator 3
SDG 11,Sustainable Cities and Communities,Indicator 1
SDG 11,Sustainable Cities and Communities,Indicator 2
SDG 11,Sustainable Cities and Communities,Indicator 3
SDG 12,Responsible Consumption and Production,Indicator 1
SDG 12,Responsible Consumption and Production,Indicator 2
SDG 12,Responsible Consumption and Production,
SDG 13,Climate Action,Indicator 1
SDG 13,Climate Action,Indicator 2
SDG 13,Climate Action,Indicator 3
SDG 14,Life Below Water,Indicator 1
SDG 14,Life Below Water,Indicator 2
SDG 14,Life Below Water,Indicator 3
SDG 15,Life on Land,Indicator 1
SDG 15,Life on Land,Indicator 2
SDG 15,Life on Land,Indicator 3
SDG 16,"Peace, Justice and Strong Institutions",Indicator 1
SDG 16,"Peace, Justice and Strong Institutions",Indicator 2
SDG 16,"Peace, Justice and Strong Institutions",Indicator 3
