state,sdg,value,year,Murders per 1 lakh population
Puducherry,SDG 1,37.45,2015,37.45
Puducherry,SDG 1,95.07,2016,95.07
Puducherry,SDG 1,73.2,2017,73.2
Puducherry,SDG 1,59.87,2018,59.87
Puducherry,SDG 1,15.6,2019,15.6
Puducherry,SDG 1,15.6,2020,15.6
Puducherry,SDG 1,5.81,2021,5.81
Puducherry,SDG 1,86.62,2022,86.62
Puducherry,SDG 2,60.11,2015,60.11
Puducherry,SDG 2,70.81,2016,70.81
Puducherry,SDG 2,2.06,2017,2.06
Puducherry,SDG 2,96.99,2018,96.99
Puducherry,SDG 2,83.24,2019,83.24
Puducherry,SDG 2,21.23,2020,21.23
Puducherry,SDG 2,18.18,2021,18.18
Puducherry,SDG 2,18.34,2022,18.34
Puducherry,SDG 3,30.42,2015,30.42
Puducherry,SDG 3,52.48,2016,52.48
Puducherry,SDG 3,43.19,2017,43.19
Puducherry,SDG 3,29.12,2018,29.12
Puducherry,SDG 3,61.19,2019,61.19
Puducherry,SDG 3,13.95,2020,13.95
Puducherry,SDG 3,29.21,2021,29.21
Puducherry,SDG 3,36.64,2022,36.64
Puducherry,SDG 4,45.61,2015,45.61
Puducherry,SDG 4,78.52,2016,78.52
Puducherry,SDG 4,19.97,2017,19.97
Puducherry,SDG 4,51.42,2018,51.42
Puducherry,SDG 4,59.24,2019,59.24
Puducherry,SDG 4,4.65,2020,4.65
Puducherry,SDG 4,60.75,2021,60.75
Puducherry,SDG 4,17.05,2022,17.05
Puducherry,SDG 5,6.51,2015,6.51
Puducherry,SDG 5,94.89,2016,94.89
Puducherry,SDG 5,96.56,2017,96.56
Puducherry,SDG 5,80.84,2018,80.84
Puducherry,SDG 5,30.46,2019,30.46
Puducherry,SDG 5,9.77,2020,9.77
Puducherry,SDG 5,68.42,2021,68.42
Puducherry,SDG 5,44.02,2022,44.02
Puducherry,SDG 6,12.2,2015,12.2
Puducherry,SDG 6,49.52,2016,49.52
Puducherry,SDG 6,3.44,2017,3.44
Puducherry,SDG 6,90.93,2018,90.93
Puducherry,SDG 6,25.88,2019,25.88
Puducherry,SDG 6,66.25,2020,66.25
Puducherry,SDG 6,31.17,2021,31.17
Puducherry,SDG 6,52.01,2022,52.01
Puducherry,SDG 7,54.67,2015,54.67
Puducherry,SDG 7,18.49,2016,18.49
Puducherry,SDG 7,96.96,2017,96.96
Puducherry,SDG 7,77.51,2018,77.51
Puducherry,SDG 7,93.95,2019,93.95
Puducherry,SDG 7,89.48,2020,89.48
Puducherry,SDG 7,59.79,2021,59.79
Puducherry,SDG 7,92.19,2022,92.19
Puducherry,SDG 8,8.85,2015,8.85
Puducherry,SDG 8,19.6,2016,19.6
Puducherry,SDG 8,4.52,2017,4.52
Puducherry,SDG 8,32.53,2018,32.53
Puducherry,SDG 8,38.87,2019,38.87
Puducherry,SDG 8,27.13,2020,27.13
Puducherry,SDG 8,82.87,2021,82.87
Puducherry,SDG 8,35.68,2022,35.68
Puducherry,SDG 9,28.09,2015,28.09
Puducherry,SDG 9,54.27,2016,54.27
Puducherry,SDG 9,14.09,2017,14.09
Puducherry,SDG 9,80.22,2018,80.22
Puducherry,SDG 9,7.46,2019,7.46
Puducherry,SDG 9,98.69,2020,98.69
Puducherry,SDG 9,77.22,2021,77.22
Puducherry,SDG 9,19.87,2022,19.87
Puducherry,SDG 10,0.55,2015,0.55
Puducherry,SDG 10,81.55,2016,81.55
Puducherry,SDG 10,70.69,2017,70.69
Puducherry,SDG 10,72.9,2018,72.9
Puducherry,SDG 10,77.13,2019,77.13
Puducherry,SDG 10,7.4,2020,7.4
Puducherry,SDG 10,35.85,2021,35.85
Puducherry,SDG 10,11.59,2022,11.59
Puducherry,SDG 11,86.31,2015,86.31
Puducherry,SDG 11,62.33,2016,62.33
Puducherry,SDG 11,33.09,2017,33.09
Puducherry,SDG 11,6.36,2018,6.36
Puducherry,SDG 11,31.1,2019,31.1
Puducherry,SDG 11,32.52,2020,32.52
Puducherry,SDG 11,72.96,2021,72.96
Puducherry,SDG 11,63.76,2022,63.76
Puducherry,SDG 12,88.72,2015,88.72
Puducherry,SDG 12,47.22,2016,47.22
Puducherry,SDG 12,11.96,2017,11.96
Puducherry,SDG 12,71.32,2018,71.32
Puducherry,SDG 12,76.08,2019,76.08
Puducherry,SDG 12,56.13,2020,56.13
Puducherry,SDG 12,77.1,2021,77.1
Puducherry,SDG 12,49.38,2022,49.38
Puducherry,SDG 13,52.27,2015,52.27
Puducherry,SDG 13,42.75,2016,42.75
Puducherry,SDG 13,2.54,2017,2.54
Puducherry,SDG 13,10.79,2018,10.79
Puducherry,SDG 13,3.14,2019,3.14
Puducherry,SDG 13,63.64,2020,63.64
Puducherry,SDG 13,31.44,2021,31.44
Puducherry,SDG 13,50.86,2022,50.86
Puducherry,SDG 14,90.76,2015,90.76
Puducherry,SDG 14,24.93,2016,24.93
Puducherry,SDG 14,41.04,2017,41.04
Puducherry,SDG 14,75.56,2018,75.56
Puducherry,SDG 14,22.88,2019,22.88
Puducherry,SDG 14,7.7,2020,7.7
Puducherry,SDG 14,28.98,2021,28.98
Puducherry,SDG 14,16.12,2022,16.12
Puducherry,SDG 15,92.97,2015,92.97
Puducherry,SDG 15,80.81,2016,80.81
Puducherry,SDG 15,63.34,2017,63.34
Puducherry,SDG 15,87.15,2018,87.15
Puducherry,SDG 15,80.37,2019,80.37
Puducherry,SDG 15,18.66,2020,18.66
Puducherry,SDG 15,89.26,2021,89.26
Puducherry,SDG 15,53.93,2022,53.93
Puducherry,SDG 16,80.74,2015,80.74
Puducherry,SDG 16,89.61,2016,89.61
Puducherry,SDG 16,31.8,2017,31.8
Puducherry,SDG 16,11.01,2018,11.01
Puducherry,SDG 16,22.79,2019,22.79
Puducherry,SDG 16,42.71,2020,42.71
Puducherry,SDG 16,81.8,2021,81.8
Puducherry,SDG 16,86.07,2022,86.07
Puducherry,SDG 17,0.7,2015,0.7
Puducherry,SDG 17,51.07,2016,51.07
Puducherry,SDG 17,41.74,2017,41.74
Puducherry,SDG 17,22.21,2018,22.21
Puducherry,SDG 17,11.99,2019,11.99
Puducherry,SDG 17,33.76,2020,33.76
Puducherry,SDG 17,94.29,2021,94.29
Puducherry,SDG 17,32.32,2022,32.32
Mahārāshtra,SDG 1,51.88,2015,51.88
Mahārāshtra,SDG 1,70.3,2016,70.3
Mahārāshtra,SDG 1,36.36,2017,36.36
Mahārāshtra,SDG 1,97.18,2018,97.18
Mahārāshtra,SDG 1,96.24,2019,96.24
Mahārāshtra,SDG 1,25.18,2020,25.18
Mahārāshtra,SDG 1,49.72,2021,49.72
Mahārāshtra,SDG 1,30.09,2022,30.09
Mahārāshtra,SDG 2,28.48,2015,28.48
Mahārāshtra,SDG 2,3.69,2016,3.69
Mahārāshtra,SDG 2,60.96,2017,60.96
Mahārāshtra,SDG 2,50.27,2018,50.27
Mahārāshtra,SDG 2,5.15,2019,5.15
Mahārāshtra,SDG 2,27.86,2020,27.86
Mahārāshtra,SDG 2,90.83,2021,90.83
Mahārāshtra,SDG 2,23.96,2022,23.96
Mahārāshtra,SDG 3,14.49,2015,14.49
Mahārāshtra,SDG 3,48.95,2016,48.95
Mahārāshtra,SDG 3,98.57,2017,98.57
Mahārāshtra,SDG 3,24.21,2018,24.21
Mahārāshtra,SDG 3,67.21,2019,67.21
Mahārāshtra,SDG 3,76.16,2020,76.16
Mahārāshtra,SDG 3,23.76,2021,23.76
Mahārāshtra,SDG 3,72.82,2022,72.82
Mahārāshtra,SDG 4,36.78,2015,36.78
Mahārāshtra,SDG 4,63.23,2016,63.23
Mahārāshtra,SDG 4,63.35,2017,63.35
Mahārāshtra,SDG 4,53.58,2018,53.58
Mahārāshtra,SDG 4,9.03,2019,9.03
Mahārāshtra,SDG 4,83.53,2020,83.53
Mahārāshtra,SDG 4,32.08,2021,32.08
Mahārāshtra,SDG 4,18.65,2022,18.65
Mahārāshtra,SDG 5,4.08,2015,4.08
Mahārāshtra,SDG 5,59.09,2016,59.09
Mahārāshtra,SDG 5,67.76,2017,67.76
Mahārāshtra,SDG 5,1.66,2018,1.66
